method,K,mean,std,n
ae_perturb,5,0.7817034887164603,,1
ae_perturb,10,0.7851685127050879,,1
ae_perturb,15,0.7944974234437008,,1
ae_perturb,20,0.8241722442693834,,1
ae_perturb,30,0.8314280637327489,,1
ae_perturb,50,0.8236391636557484,,1
bsnet_fc,5,0.62981993721495,0.05023838085845314,2
bsnet_fc,10,0.7353698987146835,0.009444564304777955,2
bsnet_fc,15,0.7449505419652905,0.00653371189155376,2
bsnet_fc,20,0.7583664040751051,0.001088951981925679,2
bsnet_fc,30,0.7637860569803945,0.007999608790299673,2
bsnet_fc,50,0.7639933661079192,8.376553707126343e-05,2
issc,5,0.7054433453770065,0.020564439350980002,2
issc,10,0.7450097731445833,0.01662745910863349,2
issc,15,0.7413522478232542,0.012041295953985159,2
issc,20,0.7519694367114849,0.013863196385283914,2
issc,30,0.7580406325889948,0.013695665311141464,2
issc,50,0.7630308594444115,0.0029527351817599263,2
mcuve,5,0.672140614819641,0.008313729554316744,2
mcuve,10,0.6620268909553989,0.011727175189968247,2
mcuve,15,0.6876147604098797,0.008376553707120102,2
mcuve,20,0.6932269146478707,0.0074341914150690466,2
mcuve,30,0.7075608600367234,0.005968294516323094,2
mcuve,50,0.6969436711484926,0.018637831998342277,2
pca_loading,5,0.6057868862169046,,1
pca_loading,10,0.7014452407747438,,1
pca_loading,15,0.7309127524729018,,1
pca_loading,20,0.7292246638630575,,1
pca_loading,30,0.7494817271811882,,1
pca_loading,50,0.7666883847657406,,1
random,5,0.6592726411182847,0.030029945040025745,2
random,10,0.7503850026654031,0.026825913247052226,2
random,15,0.7409820529526743,0.008083374327370975,2
random,20,0.7347627791269324,0.044270086342130054,2
random,30,0.7491411479002548,0.010701047360845926,2
random,50,0.7558786945448084,0.0029736765660276342,2
sam_greedy,5,0.657851092815258,0.0,2
sam_greedy,10,0.7588698690990937,0.0,2
sam_greedy,15,0.7756915240182432,0.0,2
sam_greedy,20,0.7951489664159214,0.0,2
sam_greedy,30,0.82026298643606,0.0,2
sam_greedy,50,0.8077948231949298,0.0,2
spa,5,0.7379316472190961,,1
spa,10,0.7427293727418113,,1
spa,15,0.7511994313806788,,1
spa,20,0.7606468044778771,,1
spa,30,0.7637860569803945,,1
spa,50,0.7724930403364331,,1
sparse_lasso,5,0.7295208197595214,0.0,2
sparse_lasso,10,0.7492151868743707,0.0,2
sparse_lasso,15,0.7347035479476396,0.0,2
sparse_lasso,20,0.7372801042468755,0.0,2
sparse_lasso,30,0.7398122371616418,0.0005654173752305474,2
sparse_lasso,50,0.7491411479002547,0.00014658968987462268,2
variance,5,0.6057868862169046,,1
variance,10,0.7014452407747438,,1
variance,15,0.7257596398744299,,1
variance,20,0.7292246638630575,,1
variance,30,0.7533613694248652,,1
variance,50,0.7672214653793757,,1
