dataset,method,method_type,K,seed,select_time_s,knn_acc_mean,knn_acc_std
lichens,variance,filter,5,0,0.002,0.54675,0.011900630235411906
lichens,variance,filter,13,0,0.001,0.60625,0.01652649388103838
lichens,variance,filter,30,0,0.001,0.96975,0.0034820970692960368
lichens,variance,filter,80,0,0.001,0.9867500000000001,0.004716990566028312
lichens,pca_loading,filter,5,0,0.004,0.54675,0.011900630235411906
lichens,pca_loading,filter,13,0,0.002,0.60625,0.01652649388103838
lichens,pca_loading,filter,30,0,0.002,0.96975,0.0034820970692960368
lichens,pca_loading,filter,80,0,0.002,0.9870000000000001,0.0053967582862307194
lichens,sam_greedy,wrapper-unsup,5,0,0.003,0.68625,0.013784048752090218
lichens,sam_greedy,wrapper-unsup,5,1,0.001,0.6837500000000001,0.012170661444638093
lichens,sam_greedy,wrapper-unsup,13,0,0.002,0.6477499999999999,0.010350120772242233
lichens,sam_greedy,wrapper-unsup,13,1,0.002,0.65325,0.010018732454756941
lichens,sam_greedy,wrapper-unsup,30,0,0.004,0.8495000000000001,0.009407443861113371
lichens,sam_greedy,wrapper-unsup,30,1,0.004,0.85725,0.015580436450882874
lichens,sam_greedy,wrapper-unsup,80,0,0.019,0.94725,0.008817596044274198
lichens,sam_greedy,wrapper-unsup,80,1,0.018,0.94825,0.009539392014169463
lichens,spa,wrapper-unsup,5,0,0.014,0.9564999999999999,0.008000000000000007
lichens,spa,wrapper-unsup,13,0,0.028,0.9722500000000001,0.006490377492873573
lichens,spa,wrapper-unsup,30,0,0.06,0.9722500000000001,0.004703721930556705
lichens,spa,wrapper-unsup,80,0,0.174,0.985,0.005184110338331938
lichens,mcuve,wrapper-unsup,5,0,0.022,0.55625,0.01294217910554477
lichens,mcuve,wrapper-unsup,5,1,0.021,0.5605,0.011635076278220097
lichens,mcuve,wrapper-unsup,13,0,0.021,0.6297499999999999,0.013495369576265806
lichens,mcuve,wrapper-unsup,13,1,0.021,0.8567499999999999,0.014439529078193661
lichens,mcuve,wrapper-unsup,30,0,0.018,0.9375,0.008944271909999158
lichens,mcuve,wrapper-unsup,30,1,0.021,0.9375,0.006614378277661491
lichens,mcuve,wrapper-unsup,80,0,0.02,0.982,0.005733672470589846
lichens,mcuve,wrapper-unsup,80,1,0.021,0.9817499999999999,0.004077376607575046
lichens,issc,clustering-unsup,5,0,0.313,0.57875,0.009585144756340428
lichens,issc,clustering-unsup,5,1,0.293,0.779,0.0062948391560071
lichens,issc,clustering-unsup,13,0,0.298,0.9744999999999999,0.0035881750236018365
lichens,issc,clustering-unsup,13,1,0.294,0.96025,0.0062948391560071
lichens,issc,clustering-unsup,30,0,0.315,0.9810000000000001,0.006393355926272225
lichens,issc,clustering-unsup,30,1,0.326,0.97575,0.006547900426854387
lichens,issc,clustering-unsup,80,0,0.341,0.9657500000000001,0.004227883631321933
lichens,issc,clustering-unsup,80,1,0.346,0.97675,0.00860958767886126
lichens,bsnet_fc,deep-unsup,5,0,2.499,0.9207500000000002,0.011418187246669218
lichens,bsnet_fc,deep-unsup,5,1,1.411,0.9470000000000001,0.0037583240945932256
lichens,bsnet_fc,deep-unsup,13,0,1.411,0.968,0.007356969484781078
lichens,bsnet_fc,deep-unsup,13,1,1.543,0.97625,0.0030618621784789892
lichens,bsnet_fc,deep-unsup,30,0,1.538,0.97675,0.004000000000000024
lichens,bsnet_fc,deep-unsup,30,1,1.564,0.975,0.0037914377220257677
lichens,bsnet_fc,deep-unsup,80,0,1.561,0.9765,0.007132671308843563
lichens,bsnet_fc,deep-unsup,80,1,1.558,0.9719999999999999,0.006403124237432836
lichens,sparse_lasso,embedded-sup,5,0,4.685,0.93925,0.008162413858657257
lichens,sparse_lasso,embedded-sup,5,1,4.711,0.9390000000000001,0.009598176910226242
lichens,sparse_lasso,embedded-sup,13,0,4.657,0.9842500000000001,0.004373213921133977
lichens,sparse_lasso,embedded-sup,13,1,4.496,0.98475,0.00483476990145343
lichens,sparse_lasso,embedded-sup,30,0,4.48,0.9882500000000001,0.0020310096011589823
lichens,sparse_lasso,embedded-sup,30,1,4.577,0.9869999999999999,0.006354132513569429
lichens,sparse_lasso,embedded-sup,80,0,8.205,0.9852500000000001,0.0024238399287081908
lichens,sparse_lasso,embedded-sup,80,1,8.235,0.98475,0.00514781507049353
lichens,random,baseline,5,0,0.0,0.9417500000000001,0.0069641941385920406
lichens,random,baseline,5,1,0.0,0.9254999999999999,0.011418187246669216
lichens,random,baseline,13,0,0.0,0.9649999999999999,0.007071067811865454
lichens,random,baseline,13,1,0.0,0.966,0.004962358310319784
lichens,random,baseline,30,0,0.0,0.9540000000000001,0.010012492197250384
lichens,random,baseline,30,1,0.0,0.96125,0.007945124291035333
lichens,random,baseline,80,0,0.0,0.9724999999999999,0.0052440442408507515
lichens,random,baseline,80,1,0.0,0.9744999999999999,0.005787918451395116
lichens,ae_perturb,ours,5,0,0.002,0.9342500000000001,0.010943034314119637
lichens,ae_perturb,ours,13,0,0.0,0.97075,0.008276472678623411
lichens,ae_perturb,ours,30,0,0.002,0.977,0.005947688626685141
lichens,ae_perturb,ours,80,0,0.001,0.98525,0.005147815070493509
